"","Var1","Freq"
"1","Assembly",1823
"2","C",6974
"3","C#",12476
"4","C++",8155
"5","Clojure",391
"6","CoffeeScript",1192
"7","CommonLisp",273
"8","Dart",145
"9","Elixir",380
"10","Erlang",281
"11","F#",457
"12","Go",1557
"13","Groovy",1193
"14","Hack",107
"15","Haskell",649
"16","Java",14524
"17","JavaScript",22875
"18","Julia",138
"19","Lua",1039
"20","Matlab",1569
"21","Objective-C",2349
"22","Perl",1585
"23","PHP",10290
"24","Python",11704
"25","R",1634
"26","Ruby",3324
"27","Rust",416
"28","Scala",1309
"29","Smalltalk",327
"30","SQL",18754
"31","Swift",2368
"32","TypeScript",3488
"33","VB.NET",2273
"34","VBA",1574
"35","VisualBasic6",1071
